iter	Passed	Remaining
749	1197	399
750	1198	397
751	1199	395
752	1201	394
753	1202	392
754	1203	390
755	1205	388
756	1206	387
757	1207	385
758	1209	383
759	1210	382
760	1211	380
761	1213	378
762	1214	377
763	1216	375
764	1217	373
765	1218	372
766	1219	370
767	1220	368
768	1222	367
769	1223	365
770	1224	363
771	1225	362
772	1227	360
773	1228	358
774	1230	357
775	1231	355
776	1232	353
777	1233	352
778	1234	350
779	1236	348
780	1237	346
781	1238	345
782	1239	343
783	1240	341
784	1242	340
785	1243	338
786	1245	336
787	1246	335
788	1247	333
789	1248	331
790	1249	330
791	1251	328
792	1252	326
793	1253	325
794	1254	323
795	1256	321
796	1257	320
797	1259	318
798	1260	317
799	1261	315
800	1262	313
801	1264	312
802	1265	310
803	1266	308
804	1267	307
805	1269	305
806	1270	303
807	1271	302
808	1273	300
809	1274	299
810	1276	297
811	1277	295
812	1278	294
813	1279	292
814	1280	290
815	1282	289
816	1283	287
817	1284	285
818	1285	284
819	1286	282
820	1288	280
821	1289	279
822	1290	277
823	1292	275
824	1293	274
825	1294	272
826	1295	271
827	1296	269
828	1298	267
829	1299	266
830	1300	264
831	1301	262
832	1303	261
833	1304	259
834	1305	258
835	1307	256
836	1308	254
837	1309	253
838	1310	251
839	1311	249
840	1312	248
841	1314	246
842	1315	244
843	1316	243
844	1318	241
845	1319	240
846	1320	238
847	1321	236
848	1323	235
849	1324	233
850	1325	232
851	1326	230
852	1327	228
853	1328	227
854	1330	225
855	1331	223
856	1332	222
857	1334	220
858	1335	219
859	1336	217
860	1338	216
861	1339	214
862	1340	212
863	1341	211
864	1342	209
865	1343	207
866	1345	206
867	1346	204
868	1347	203
869	1349	201
870	1350	200
871	1352	198
872	1353	196
873	1354	195
874	1355	193
875	1357	192
876	1358	190
877	1359	188
878	1360	187
879	1362	185
880	1363	184
881	1365	182
882	1366	181
883	1367	179
884	1368	177
885	1370	176
886	1371	174
887	1372	173
888	1373	171
889	1374	169
890	1376	168
891	1377	166
892	1378	165
893	1380	163
894	1381	162
895	1382	160
896	1383	158
897	1385	157
898	1386	155
899	1387	154
900	1388	152
901	1390	151
902	1392	149
903	1393	148
904	1395	146
905	1396	144
906	1397	143
907	1399	141
908	1400	140
909	1401	138
910	1402	137
911	1404	135
912	1405	133
913	1406	132
914	1407	130
915	1409	129
916	1410	127
917	1411	126
918	1413	124
919	1414	122
920	1415	121
921	1416	119
922	1418	118
923	1419	116
924	1420	115
925	1422	113
926	1423	112
927	1425	110
928	1426	109
929	1427	107
930	1429	105
931	1430	104
932	1431	102
933	1433	101
934	1434	99
935	1435	98
936	1436	96
937	1438	95
938	1439	93
939	1441	91
940	1442	90
941	1443	88
942	1445	87
943	1446	85
944	1448	84
945	1449	82
946	1450	81
947	1451	79
948	1452	78
949	1454	76
950	1456	75
951	1457	73
952	1459	71
953	1460	70
954	1461	68
955	1463	67
956	1464	65
957	1465	64
958	1466	62
959	1468	61
960	1469	59
961	1471	58
962	1472	56
963	1473	55
964	1474	53
965	1475	51
966	1477	50
967	1478	48
968	1479	47
969	1480	45
970	1481	44
971	1483	42
972	1485	41
973	1486	39
974	1487	38
975	1488	36
976	1490	35
977	1491	33
978	1492	32
979	1493	30
980	1494	28
981	1496	27
982	1497	25
983	1498	24
984	1500	22
985	1501	21
986	1502	19
987	1503	18
988	1505	16
989	1506	15
990	1507	13
991	1508	12
992	1509	10
993	1511	9
994	1512	7
995	1514	6
996	1515	4
997	1516	3
998	1517	1
999	1519	0
